"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2010","2010",1478.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2011","2011",1513.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2012","2012",1486.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2013","2013",1504.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2014","2014",1503.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2015","2015",1546.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2016","2016",1596.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2017","2017",1587.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2018","2018",1573.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2010","2010",3437,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2011","2011",3330,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2012","2012",3185,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2013","2013",2981,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2014","2014",3127,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2015","2015",2981,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2016","2016",2881,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2017","2017",2700,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2018","2018",2521,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2019","2019",2399,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2020","2020",1701,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2021","2021",1914,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2010","2010",7254,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2011","2011",7130,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2012","2012",7526,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2013","2013",7312,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2014","2014",7333,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2015","2015",7673,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2016","2016",9504,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2017","2017",8461,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2018","2018",8294,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2019","2019",8326,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2020","2020",6886,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2021","2021",7483,,
