"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2010","2010",1478.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2011","2011",1513.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2012","2012",1486.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2013","2013",1504.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2014","2014",1503.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2015","2015",1546.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2016","2016",1596.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2017","2017",1587.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2018","2018",1573.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2010","2010",5484.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2011","2011",5367.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2012","2012",6040,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2013","2013",5667.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2014","2014",5579.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2015","2015",5488.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2016","2016",5537.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2017","2017",5373.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2018","2018",5264.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2019","2019",5084.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2020","2020",4231.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2021","2021",4567.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2010","2010",5417.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2011","2011",5551.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2012","2012",5063.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2013","2013",4751.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2014","2014",4741.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2015","2015",4600.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2016","2016",4515.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2017","2017",4258.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2018","2018",4264.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2019","2019",4034,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2020","2020",3181.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2021","2021",3630,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2010","2010",5060,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2011","2011",4885,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2012","2012",4803,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2013","2013",4690,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2014","2014",4418,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2015","2015",4511,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2016","2016",4397,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2017","2017",4181,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2018","2018",4125,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2019","2019",3755,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2020","2020",2670,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2021","2021",2840,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czechia","2010","2010",2318,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czechia","2011","2011",2434,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czechia","2012","2012",2428,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czechia","2013","2013",2406,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czechia","2014","2014",2504,,
